origin,destination,distance_km,hist_avg_delay_hrs,transport_mode,mode_label
New Mangalore Port,Kochi Port,364.8,17.08,1,sea
New Mangalore Port,Mormugao Port,296.5,13.88,1,sea
New Mangalore Port,Tuticorin Port,587.6,27.51,1,sea
Mormugao Port,JNPT Port,405.3,18.98,1,sea
Mormugao Port,Mumbai Port,404.8,18.95,1,sea
Mormugao Port,Kandla Port,920.6,43.1,1,sea
Mormugao Port,Mundra Port,932.2,43.64,1,sea
Mormugao Port,Chennai Port,745.1,34.88,1,sea
Mormugao Port,Ennore Port,742.9,34.78,1,sea
Mormugao Port,Visakhapatnam Port,1041.7,48.77,1,sea
Mormugao Port,Paradip Port,1461.8,68.44,1,sea
Mormugao Port,Kolkata Port,1721.2,80.59,1,sea
Mormugao Port,Haldia Port,1673.8,78.37,1,sea
Mormugao Port,Kochi Port,660.7,30.93,1,sea
Mormugao Port,New Mangalore Port,296.5,13.88,1,sea
Mormugao Port,Tuticorin Port,875.4,40.98,1,sea
Tuticorin Port,JNPT Port,1263.8,59.17,1,sea
Tuticorin Port,Mumbai Port,1265.8,59.26,1,sea
Tuticorin Port,Kandla Port,1789.9,83.8,1,sea
Tuticorin Port,Mundra Port,1804.9,84.5,1,sea
Tuticorin Port,Chennai Port,535.4,25.07,1,sea
Tuticorin Port,Ennore Port,549.4,25.72,1,sea
Tuticorin Port,Visakhapatnam Port,1137.9,53.28,1,sea
Tuticorin Port,Paradip Port,1574.8,73.73,1,sea
Tuticorin Port,Kolkata Port,1882.0,88.11,1,sea
Tuticorin Port,Haldia Port,1820.4,85.23,1,sea
Tuticorin Port,Kochi Port,244.7,11.46,1,sea
Tuticorin Port,New Mangalore Port,587.6,27.51,1,sea
Tuticorin Port,Mormugao Port,875.4,40.98,1,sea
Mumbai Airport BOM,Amazon FC Bhiwandi,30.7,0.59,0,road
Mumbai Airport BOM,Flipkart FC Bhiwandi,32.2,0.62,0,road
Mumbai Airport BOM,JNPT Port,17.1,0.33,0,road
Mumbai Airport BOM,Mumbai Port,18.9,0.36,0,road
Mumbai Airport BOM,Delhi Airport DEL,1138.2,1.64,2,air
Mumbai Airport BOM,Bangalore Airport BLR,834.4,1.2,2,air
Mumbai Airport BOM,Chennai Airport MAA,1033.5,1.49,2,air
Mumbai Airport BOM,Kolkata Airport CCU,1665.6,2.4,2,air
Mumbai Airport BOM,Hyderabad Airport HYD,622.7,0.9,2,air
Mumbai Airport BOM,Ahmedabad Airport AMD,444.0,0.64,2,air
Mumbai Airport BOM,Kochi Airport COK,1064.0,1.53,2,air
Mumbai Airport BOM,Pune Airport PNQ,124.5,0.18,2,air
Mumbai Airport BOM,Nagpur Airport NAG,682.8,0.98,2,air
Delhi Airport DEL,Amazon FC Manesar,29.4,0.57,0,road
Delhi Airport DEL,Delhivery Hub Gurgaon,14.1,0.27,0,road
Delhi Airport DEL,Amazon FC Noida,28.3,0.55,0,road
Delhi Airport DEL,Mumbai Airport BOM,1138.2,1.64,2,air
Delhi Airport DEL,Bangalore Airport BLR,1710.0,2.46,2,air
Delhi Airport DEL,Chennai Airport MAA,1760.4,2.54,2,air
Delhi Airport DEL,Kolkata Airport CCU,1312.8,1.89,2,air
Delhi Airport DEL,Hyderabad Airport HYD,1266.7,1.82,2,air
Delhi Airport DEL,Ahmedabad Airport AMD,756.5,1.09,2,air
Delhi Airport DEL,Kochi Airport COK,2048.9,2.95,2,air
Delhi Airport DEL,Pune Airport PNQ,1156.5,1.67,2,air
Delhi Airport DEL,Nagpur Airport NAG,853.9,1.23,2,air
Bangalore Airport BLR,Flipkart FC Bangalore,40.3,0.78,0,road
Bangalore Airport BLR,Amazon FC Bangalore,32.5,0.63,0,road
Bangalore Airport BLR,Mumbai Airport BOM,834.4,1.2,2,air
Bangalore Airport BLR,Delhi Airport DEL,1710.0,2.46,2,air
Bangalore Airport BLR,Chennai Airport MAA,267.9,0.39,2,air
Bangalore Airport BLR,Kolkata Airport CCU,1546.5,2.23,2,air
Bangalore Airport BLR,Hyderabad Airport HYD,456.1,0.66,2,air
Bangalore Airport BLR,Ahmedabad Airport AMD,1221.8,1.76,2,air
Bangalore Airport BLR,Kochi Airport COK,367.3,0.53,2,air
Bangalore Airport BLR,Pune Airport PNQ,722.6,1.04,2,air
Bangalore Airport BLR,Nagpur Airport NAG,889.2,1.28,2,air
Chennai Airport MAA,Amazon FC Chennai,5.3,0.1,0,road
Chennai Airport MAA,Chennai Port,16.7,0.32,0,road
Chennai Airport MAA,Ennore Port,29.4,0.57,0,road
Chennai Airport MAA,Mumbai Airport BOM,1033.5,1.49,2,air
Chennai Airport MAA,Delhi Airport DEL,1760.4,2.54,2,air
Chennai Airport MAA,Bangalore Airport BLR,267.9,0.39,2,air
Chennai Airport MAA,Kolkata Airport CCU,1385.0,1.99,2,air
Chennai Airport MAA,Hyderabad Airport HYD,507.8,0.73,2,air
Chennai Airport MAA,Ahmedabad Airport AMD,1374.7,1.98,2,air
Chennai Airport MAA,Kochi Airport COK,518.1,0.75,2,air
Chennai Airport MAA,Pune Airport PNQ,912.7,1.31,2,air
Chennai Airport MAA,Nagpur Airport NAG,908.3,1.31,2,air
Kolkata Airport CCU,Amazon FC Kolkata,7.2,0.14,0,road
Kolkata Airport CCU,Kolkata Port,15.2,0.29,0,road
Kolkata Airport CCU,Mumbai Airport BOM,1665.6,2.4,2,air
Kolkata Airport CCU,Delhi Airport DEL,1312.8,1.89,2,air
Kolkata Airport CCU,Bangalore Airport BLR,1546.5,2.23,2,air
Kolkata Airport CCU,Chennai Airport MAA,1385.0,1.99,2,air
Kolkata Airport CCU,Hyderabad Airport HYD,1207.0,1.74,2,air
Kolkata Airport CCU,Ahmedabad Airport AMD,1619.9,2.33,2,air
Kolkata Airport CCU,Kochi Airport COK,1890.5,2.72,2,air
Kolkata Airport CCU,Pune Airport PNQ,1577.2,2.27,2,air
Kolkata Airport CCU,Nagpur Airport NAG,985.1,1.42,2,air
Hyderabad Airport HYD,Amazon FC Hyderabad,19.3,0.37,0,road
Hyderabad Airport HYD,Mumbai Airport BOM,622.7,0.9,2,air
Hyderabad Airport HYD,Delhi Airport DEL,1266.7,1.82,2,air
Hyderabad Airport HYD,Bangalore Airport BLR,456.1,0.66,2,air
Hyderabad Airport HYD,Chennai Airport MAA,507.8,0.73,2,air
Hyderabad Airport HYD,Kolkata Airport CCU,1207.0,1.74,2,air
Hyderabad Airport HYD,Ahmedabad Airport AMD,886.9,1.28,2,air
Hyderabad Airport HYD,Kochi Airport COK,818.0,1.18,2,air
Hyderabad Airport HYD,Pune Airport PNQ,499.9,0.72,2,air
Hyderabad Airport HYD,Nagpur Airport NAG,433.2,0.62,2,air
Ahmedabad Airport AMD,Blue Dart Hub Ahmedabad,4.8,0.09,0,road
Ahmedabad Airport AMD,Mumbai Airport BOM,444.0,0.64,2,air
Ahmedabad Airport AMD,Delhi Airport DEL,756.5,1.09,2,air
Ahmedabad Airport AMD,Bangalore Airport BLR,1221.8,1.76,2,air
Ahmedabad Airport AMD,Chennai Airport MAA,1374.7,1.98,2,air
Ahmedabad Airport AMD,Kolkata Airport CCU,1619.9,2.33,2,air
Ahmedabad Airport AMD,Hyderabad Airport HYD,886.9,1.28,2,air
Ahmedabad Airport AMD,Kochi Airport COK,1491.9,2.15,2,air
Ahmedabad Airport AMD,Pune Airport PNQ,517.3,0.74,2,air
Ahmedabad Airport AMD,Nagpur Airport NAG,696.5,1.0,2,air
Kochi Airport COK,Amazon FC Kochi,16.6,0.32,0,road
Kochi Airport COK,Kochi Port,25.4,0.49,0,road
Kochi Airport COK,Mumbai Airport BOM,1064.0,1.53,2,air
Kochi Airport COK,Delhi Airport DEL,2048.9,2.95,2,air
Kochi Airport COK,Bangalore Airport BLR,367.3,0.53,2,air
Kochi Airport COK,Chennai Airport MAA,518.1,0.75,2,air
Kochi Airport COK,Kolkata Airport CCU,1890.5,2.72,2,air
Kochi Airport COK,Hyderabad Airport HYD,818.0,1.18,2,air
Kochi Airport COK,Ahmedabad Airport AMD,1491.9,2.15,2,air
Kochi Airport COK,Pune Airport PNQ,974.7,1.4,2,air
Kochi Airport COK,Nagpur Airport NAG,1248.9,1.8,2,air
Pune Airport PNQ,XpressBees Hub Pune,10.6,0.2,0,road
Pune Airport PNQ,Mumbai Airport BOM,124.5,0.18,2,air
Pune Airport PNQ,Delhi Airport DEL,1156.5,1.67,2,air
Pune Airport PNQ,Bangalore Airport BLR,722.6,1.04,2,air
Pune Airport PNQ,Chennai Airport MAA,912.7,1.31,2,air
Pune Airport PNQ,Kolkata Airport CCU,1577.2,2.27,2,air
Pune Airport PNQ,Hyderabad Airport HYD,499.9,0.72,2,air
Pune Airport PNQ,Ahmedabad Airport AMD,517.3,0.74,2,air
Pune Airport PNQ,Kochi Airport COK,974.7,1.4,2,air
Pune Airport PNQ,Nagpur Airport NAG,604.5,0.87,2,air
Nagpur Airport NAG,Mahindra Logistics Nagpur,1.9,0.04,0,road
Nagpur Airport NAG,Mumbai Airport BOM,682.8,0.98,2,air
Nagpur Airport NAG,Delhi Airport DEL,853.9,1.23,2,air
Nagpur Airport NAG,Bangalore Airport BLR,889.2,1.28,2,air
Nagpur Airport NAG,Chennai Airport MAA,908.3,1.31,2,air
Nagpur Airport NAG,Kolkata Airport CCU,985.1,1.42,2,air
Nagpur Airport NAG,Hyderabad Airport HYD,433.2,0.62,2,air
Nagpur Airport NAG,Ahmedabad Airport AMD,696.5,1.0,2,air
Nagpur Airport NAG,Kochi Airport COK,1248.9,1.8,2,air
Nagpur Airport NAG,Pune Airport PNQ,604.5,0.87,2,air
